Aspect,BSI,Elevation,NBR,NDMI,NDVI,NDWI,SAVI,SinAspect,Slope,PA,POINT_X,POINT_Y,PcentBgrnd,PcentOther,PointID,Class,Class_Number
152.24649,9521,1827,-0.130752572,-0.194430507,0.074272335,-0.200822737,1.074272332,0.465668727,31.116846,1,-111.95336,36.270645,90,10,839,Bareground,1
157.0459,9481,1822,-0.118437118,-0.186733417,0.08173797,-0.209605361,1.081737972,0.389993606,35.78297,1,-111.953116,36.27066,90,10,838,Bareground,1
141.333,9979,1769,-0.082071713,-0.181624438,0.105212666,-0.231646472,1.105212664,0.624793158,32.729218,1,-111.953567,36.269568,90,10,824,Bareground,1
129.79811,9449,1768,-0.108245301,-0.184952978,0.09538254,-0.228501229,1.095382541,0.768304628,38.096153,1,-111.952899,36.270117,90,10,828,Bareground,1
155.72296,8421,1849,-0.135285054,-0.200228018,0.05528394,-0.15,1.055283941,0.411149078,21.339567,1,-111.95314,36.271017,90,10,836,Bareground,1
148.19402,8975,1843,-0.123127408,-0.187144558,0.06738451,-0.173796791,1.067384509,0.527044563,28.073055,1,-111.95336,36.270829,90,10,837,Bareground,1
90,7359,2384,-0.06175772,-0.14197052,0.14067657,-0.280982164,1.140676568,1,16.763433,1,-111.973096,36.282745,90,10,816,Bareground,1
141.92876,6355,1253,-0.007476154,-0.245541838,0.023391813,-0.106004022,1.023391813,0.616640835,21.34003,1,-111.877555,36.262575,90,10,860,Bareground,1
268.2894,7087,1332,-0.021137586,-0.163684124,0.08683593,-0.203401843,1.086835929,-0.999554354,28.470364,1,-111.864626,36.260504,90,10,861,Bareground,1
53.12669,5787,1479,-0.028595637,-0.11586659,0.1018741,-0.328505214,1.101874099,0.799964264,36.06929,1,-111.873149,36.326432,90,10,939,Bareground,1
113.346054,9421,1772,-0.035596769,-0.187397606,0.10581376,-0.245990338,1.105813754,0.918128147,50.785065,1,-111.878025,36.322795,90,10,911,Bareground,1
160.09904,4251,1648,0.114685731,-0.063797848,0.09383221,-0.195909236,1.093832213,0.340395226,22.449465,1,-111.8749,36.324252,90,10,931,Bareground,1
123.95004,6305,1623,0.147534884,-0.011063011,0.08917535,-0.22917497,1.089175349,0.829524828,60.509003,1,-111.874898,36.324089,90,10,929,Bareground,1
123.95004,8619,1623,0.010925645,-0.128124591,0.09374487,-0.230968219,1.093744869,0.829524828,60.509003,1,-111.874906,36.323867,90,10,928,Bareground,1
119.92003,9719,1548,-0.004827031,-0.134056703,0.07471763,-0.210964268,1.074717637,0.866722441,58.356285,1,-111.87489,36.323528,90,10,924,Bareground,1
117.215324,9521,1603,0.014703861,-0.126463977,0.094412334,-0.214673466,1.094412331,0.889294085,64.785866,1,-111.874935,36.32335,90,10,927,Bareground,1
117.215324,9521,1603,0.014703861,-0.126463977,0.094412334,-0.214673466,1.094412331,0.889294085,64.785866,1,-111.875104,36.323331,90,10,926,Bareground,1
115.62132,9119,1660,-0.008386053,-0.150063052,0.0995106,-0.235790246,1.099510604,0.901671663,43.102936,1,-111.875783,36.323173,90,10,918,Bareground,1
